iter	Passed	Remaining
0	1406	420482
1	2924	435721
2	4222	418065
3	6156	455581
4	7911	466797
5	9477	464396
6	11862	496546
7	13589	496030
8	15207	491700
9	17018	493523
10	18677	490704
11	20613	494726
12	21844	482268
13	23431	478674
14	24940	473866
15	26343	467598
16	27724	461537
17	29326	459444
18	30916	457234
19	32666	457335
20	34250	455048
21	35854	453069
22	37456	451101
23	39460	453801
24	40856	449416
25	42135	444044
26	43282	437636
27	44503	432316
28	45819	428171
29	47295	425657
30	48714	422719
31	49834	417366
32	51104	413483
33	52312	409270
34	53925	408292
35	55081	403930
36	56390	400831
37	57907	399253
38	59251	396530
39	60459	392987
40	61817	390502
41	63271	388669
42	64561	385868
43	65782	382731
44	67445	382188
45	69668	384691
46	71152	383010
47	72399	380096
48	73791	377995
49	75144	375721
50	76660	374281
51	77988	371945
52	79338	369746
53	80729	367765
54	82139	365892
55	83308	362988
56	84465	360090
57	85935	358556
58	87353	356817
59	88708	354834
60	90023	352713
61	91402	350866
62	92649	348537
63	94039	346770
64	95352	344737
65	96806	343224
66	98408	342225
67	99711	340190
68	101023	338208
69	102691	337416
70	104287	336362
71	105652	334565
72	106927	332500
73	108347	330898
74	109678	329036
75	110945	326997
76	112251	325092
77	113599	323322
78	114901	321433
79	116107	319295
80	117413	317450
81	118893	316083
82	120261	314419
83	121721	312997
84	123078	311315
85	124640	310151
86	125980	308434
87	127312	306706
88	128764	305272
89	130574	304672
90	132340	303947
91	133753	302399
92	135219	300972
93	136776	299744
94	138436	298730
95	140194	297913
96	141665	296474
97	143183	295133
98	144680	293745
99	145990	291981
100	147268	290162
101	148732	288716
102	150025	286942
103	151306	285154
104	152837	283841
105	154497	282760
106	155787	280999
107	157261	279576
108	158578	277875
109	160231	276763
110	161772	275450
111	163229	273992
112	164484	272200
113	165685	270328
114	166973	268609
115	168303	266964
116	169573	265230
117	170864	263536
118	172206	261928
119	173447	260170
120	174624	258328
121	176182	257052
122	177392	255271
123	178488	253337
124	179827	251758
125	181248	250295
126	182613	248757
127	183839	247034
128	184918	245124
129	186161	243442
130	187245	241560
131	188366	239739
132	189516	237964
133	190630	236153
134	191887	234529
135	193255	233043
136	194402	231296
137	195783	229832
138	196935	228105
139	198101	226401
140	199279	224719
141	200497	223088
142	201664	221408
143	202818	219719
144	203998	218067
145	205282	216530
146	206594	215027
147	207761	213376
148	209337	212147
149	210520	210520
150	211626	208823
151	212777	207177
152	214092	205697
153	215385	204196
154	216537	202567
155	217867	201108
156	219058	199524
157	220268	197963
158	221480	196407
159	222594	194769
160	223753	193178
161	224983	191652
162	226373	190264
163	227439	188607
164	229003	187366
165	230167	185797
166	231182	184115
167	232306	182526
168	233582	181060
169	234734	179502
170	235813	177894
171	236904	176301
172	238034	174742
173	239142	173172
174	240241	171600
175	241347	170040
176	242841	168754
177	243900	167167
178	244934	165570
179	246066	164044
180	247230	162543
181	248388	161043
182	249561	159555
183	250715	158059
184	252007	156653
185	253107	155130
186	254140	153571
187	255176	152020
188	256284	150516
189	257891	149305
190	258974	147792
191	260084	146297
192	261264	144846
193	262452	143401
194	263602	141939
195	264656	140429
196	265916	139032
197	266986	137538
198	268516	136282
199	269691	134845
200	270688	133324
201	271755	131842
202	272922	130411
203	273985	128934
204	275128	127498
205	276242	126052
206	277276	124573
207	278825	123326
208	280008	121917
209	281244	120533
210	282416	119123
211	283614	117726
212	284816	116333
213	285918	114901
214	286899	113425
215	287901	111961
216	289131	110589
217	290324	109204
218	291304	107742
219	292254	106274
220	293194	104807
221	294311	103406
222	295445	102014
223	296559	100618
224	297646	99215
225	299083	97930
226	300392	96602
227	301575	95234
228	302758	93868
229	303928	92500
230	305002	91104
231	306159	89736
232	307831	88518
233	309029	87162
234	310143	85784
235	311336	84430
236	312621	83101
237	314115	81828
238	315302	80474
239	316525	79131
240	317731	77784
241	318907	76432
242	320258	75122
243	321459	73777
244	322839	72474
245	324065	71136
246	325223	69784
247	326417	68442
248	327521	67082
249	328603	65720
250	329717	64367
251	330845	63018
252	332106	61695
253	333341	60368
254	334809	59083
255	336125	57771
256	337443	56459
257	338578	55117
258	339758	53784
259	340929	52450
260	342168	51128
261	343429	49810
262	344668	48489
263	345994	47181
264	347222	45859
265	348288	44518
266	349525	43199
267	350891	41897
268	352101	40576
269	353577	39286
270	354752	37962
271	355977	36644
272	357169	35324
273	358281	33997
274	359421	32674
275	360582	31355
276	361517	30017
277	362653	28699
278	363691	27374
279	365069	26076
280	366501	24781
281	367513	23458
282	368581	22140
283	369641	20824
284	370825	19517
285	372200	18219
286	373253	16906
287	374398	15599
288	375488	14291
289	376823	12993
290	378104	11693
291	379331	10392
292	380356	9087
293	381548	7786
294	382656	6485
295	383711	5185
296	384981	3888
297	386077	2591
298	387311	1295
299	388421	0
